Strain ,Replicate,Ratio,ADE_%,Time,Plate Counts,Dilution Factor,Cells,ADE Colonies,LYS Colonies,ADE
S23_S24,1,0.05,10,0,166,20000,3320000,14,100,12.28070175
S23_S24,2,0.05,10,0,176,20000,3520000,8,110,6.779661017
S23_S24,3,0.05,10,0,146,20000,2920000,11,95,10.37735849
S23_S24,1,0.2,10,0,176,20000,3520000,29,99,22.65625
S23_S24,2,0.2,10,0,145,20000,2900000,25,88,22.12389381
S23_S24,3,0.2,10,0,177,20000,3540000,30,84,26.31578947
S23_S24,1,0.35,10,0,171,20000,3420000,45,86,34.35114504
S23_S24,2,0.35,10,0,164,20000,3280000,35,83,29.66101695
S23_S24,3,0.35,10,0,178,20000,3560000,45,83,35.15625
S23_S24,1,0.6,10,0,152,20000,3040000,72,49,59.50413223
S23_S24,2,0.6,10,0,131,20000,2620000,52,45,53.60824742
S23_S24,3,0.6,10,0,161,20000,3220000,67,51,56.77966102
S23_S24,1,0.8,10,0,191,20000,3820000,54,31,63.52941176
S23_S24,2,0.8,10,0,153,20000,3060000,90,25,78.26086957
S23_S24,3,0.8,10,0,156,20000,3120000,93,27,77.5
S23_S24,1,0.05,10,24,37,100000,3700000,7,31,18.42105263
S23_S24,2,0.05,10,24,40,100000,4000000,0,34,0
S23_S24,3,0.05,10,24,43,100000,4300000,3,32,8.571428571
S23_S24,1,0.2,10,24,41,100000,4100000,8,29,21.62162162
S23_S24,2,0.2,10,24,38,100000,3800000,7,24,22.58064516
S23_S24,3,0.2,10,24,42,100000,4200000,8,31,20.51282051
S23_S24,1,0.35,10,24,35,100000,3500000,12,20,37.5
S23_S24,2,0.35,10,24,38,100000,3800000,17,24,41.46341463
S23_S24,3,0.35,10,24,38,100000,3800000,18,16,52.94117647
S23_S24,1,0.6,10,24,30,100000,3000000,15,14,51.72413793
S23_S24,2,0.6,10,24,47,100000,4700000,17,28,37.77777778
S23_S24,3,0.6,10,24,29,100000,2900000,18,12,60
