Strain ,Replicate,Ratio,ADE_%,Time,Plate Counts,Dilution Factor,Cells,ADE Colonies,LYS Colonies,ADE
S23_S24,1,0.8,10,24,42,100000,4200000,24,13,64.86486486
S23_S24,2,0.8,10,24,30,100000,3000000,16,12,57.14285714
S23_S24,3,0.8,10,24,37,100000,3700000,29,13,69.04761905
S23_S24,1,0.05,10,48,226,100000,22600000,142,47,75.13227513
S23_S24,2,0.05,10,48,156,100000,15600000,83,33,71.55172414
S23_S24,3,0.05,10,48,225,100000,22500000,104,35,74.82014388
S23_S24,1,0.2,10,48,138,100000,13800000,70,41,63.06306306
S23_S24,2,0.2,10,48,69,100000,6900000,32,24,57.14285714
S23_S24,3,0.2,10,48,129,100000,12900000,69,34,66.99029126
S23_S24,1,0.35,10,48,73,100000,7300000,22,34,39.28571429
S23_S24,2,0.35,10,48,58,100000,5800000,11,39,22
S23_S24,3,0.35,10,48,49,100000,4900000,23,25,47.91666667
S23_S24,1,0.6,10,48,51,100000,5100000,21,30,41.17647059
S23_S24,2,0.6,10,48,41,100000,4100000,11,25,30.55555556
S23_S24,3,0.6,10,48,32,100000,3200000,15,16,48.38709677
S23_S24,1,0.8,10,48,35,100000,3500000,17,15,53.125
S23_S24,2,0.8,10,48,30,100000,3000000,15,11,57.69230769
S23_S24,3,0.8,10,48,37,100000,3700000,22,10,68.75
S23_S24,1,0.05,10,72,291,100000,29100000,174,99,63.73626374
S23_S24,2,0.05,10,72,187,100000,18700000,95,61,60.8974359
S23_S24,3,0.05,10,72,221,100000,22100000,146,89,62.12765957
S23_S24,1,0.2,10,72,132,100000,13200000,50,74,40.32258065
S23_S24,2,0.2,10,72,120,100000,12000000,75,53,58.59375
S23_S24,3,0.2,10,72,128,100000,12800000,73,54,57.48031496
S23_S24,1,0.35,10,72,147,100000,14700000,89,74,54.60122699
S23_S24,2,0.35,10,72,88,100000,8800000,48,36,57.14285714
S23_S24,3,0.35,10,72,140,100000,14000000,96,33,74.41860465
S23_S24,1,0.6,10,72,100,100000,10000000,49,45,52.12765957
S23_S24,2,0.6,10,72,65,100000,6500000,32,34,48.48484848
S23_S24,3,0.6,10,72,83,100000,8300000,49,36,57.64705882
S23_S24,1,0.8,10,72,71,100000,7100000,40,27,59.70149254
S23_S24,2,0.8,10,72,62,100000,6200000,30,22,57.69230769
S23_S24,1,0.05,10,96,158,200000,31600000,87,48,64.44444444
S23_S24,2,0.05,10,96,128,200000,25600000,60,36,62.5
S23_S24,3,0.05,10,96,144,200000,28800000,75,38,66.37168142
S23_S24,1,0.2,10,96,162,200000,32400000,78,43,64.46280992
S23_S24,2,0.2,10,96,115,200000,23000000,50,25,66.66666667
S23_S24,3,0.2,10,96,148,200000,29600000,76,32,70.37037037
S23_S24,1,0.35,10,96,91,200000,18200000,44,26,62.85714286
S23_S24,2,0.35,10,96,88,200000,17600000,46,30,60.52631579
S23_S24,3,0.35,10,96,107,200000,21400000,64,29,68.8172043
S23_S24,1,0.6,10,96,50,200000,10000000,24,19,55.81395349
S23_S24,2,0.6,10,96,32,200000,6400000,12,19,38.70967742
S23_S24,3,0.6,10,96,36,200000,7200000,23,15,60.52631579
S23_S24,1,0.8,10,96,56,200000,11200000,31,25,55.35714286
S23_S24,2,0.8,10,96,24,200000,4800000,10,15,40
S23_S24,3,0.8,10,96,45,200000,9000000,32,13,71.11111111
S23_S24,1,0.05,10,120,146,200000,29200000,86,61,58.50340136
S23_S24,2,0.05,10,120,113,200000,22600000,63,41,60.57692308
S23_S24,3,0.05,10,120,97,200000,19400000,53,35,60.22727273
S23_S24,1,0.2,10,120,129,200000,25800000,72,49,59.50413223
S23_S24,2,0.2,10,120,115,200000,23000000,59,44,57.2815534
S23_S24,3,0.2,10,120,231,200000,46200000,112,91,55.17241379
S23_S24,1,0.35,10,120,110,200000,22000000,59,44,57.2815534
S23_S24,2,0.35,10,120,77,200000,15400000,32,35,47.76119403
S23_S24,3,0.35,10,120,110,200000,22000000,81,38,68.06722689
S23_S24,1,0.6,10,120,66,200000,13200000,27,39,40.90909091
S23_S24,2,0.6,10,120,45,200000,9000000,11,32,25.58139535
S23_S24,3,0.6,10,120,110,200000,22000000,51,51,50
S23_S24,1,0.8,10,120,49,200000,9800000,25,29,46.2962963
S23_S24,2,0.8,10,120,37,200000,7400000,18,20,47.36842105
S23_S24,3,0.8,10,120,68,1000000,68000000,39,23,62.90322581
S23_S24,1,0.05,10,144,70,1000000,70000000,31,29,51.66666667
S23_S24,2,0.05,10,144,33,1000000,33000000,15,13,53.57142857
S23_S24,3,0.05,10,144,35,1000000,35000000,20,16,55.55555556
S23_S24,1,0.2,10,144,43,1000000,43000000,29,10,74.35897436
S23_S24,2,0.2,10,144,16,1000000,16000000,8,4,66.66666667
S23_S24,3,0.2,10,144,40,1000000,40000000,22,14,61.11111111
S23_S24,1,0.35,10,144,36,1000000,36000000,14,18,43.75
S23_S24,2,0.35,10,144,40,1000000,40000000,21,13,61.76470588
S23_S24,3,0.35,10,144,20,1000000,20000000,8,10,44.44444444
S23_S24,1,0.6,10,144,20,1000000,20000000,6,8,42.85714286
S23_S24,2,0.6,10,144,13,1000000,13000000,3,7,30
S23_S24,3,0.6,10,144,30,1000000,30000000,18,10,64.28571429
S23_S24,1,0.8,10,144,16,1000000,16000000,10,4,71.42857143
S23_S24,2,0.8,10,144,9,1000000,9000000,7,1,87.5
S23_S24,3,0.8,10,144,18,1000000,18000000,7,6,53.84615385
