Strain ,Replicate,Ratio,ADE_%,Time,Plate Counts,Dilution Factor,Cells,ADE Colonies,LYS Colonies,ADE
S23_S24,1,0.05,10,0,248,1000,1860000,23,218,9.543568465
S23_S24,2,0.05,10,0,345,1000,2587500,25,259,8.802816901
S23_S24,3,0.05,10,0,272,1000,2040000,25,233,9.689922481
S23_S24,1,0.2,10,0,313,1000,2347500,82,192,29.9270073
S23_S24,2,0.2,10,0,367,1000,2752500,88,193,31.31672598
S23_S24,3,0.2,10,0,311,1000,2332500,99,149,39.91935484
S23_S24,1,0.35,10,0,321,1000,2407500,156,172,47.56097561
S23_S24,2,0.35,10,0,342,1000,2565000,149,164,47.60383387
S23_S24,3,0.35,10,0,341,1000,2557500,138,171,44.66019417
S23_S24,1,0.6,10,0,386,1000,2895000,226,83,73.13915858
S23_S24,2,0.6,10,0,386,1000,2895000,183,109,62.67123288
S23_S24,3,0.6,10,0,425,1000,3187500,266,139,65.67901235
S23_S24,1,0.8,10,0,366,1000,2745000,278,38,87.97468354
S23_S24,2,0.8,10,0,347,1000,2602500,249,51,83
S23_S24,3,0.8,10,0,407,1000,3052500,265,34,88.62876254
S23_S24,1,0.05,10,24,132,10000,6600000,16,93,14.67889908
S23_S24,2,0.05,10,24,110,10000,5500000,30,65,31.57894737
S23_S24,3,0.05,10,24,132,10000,6600000,32,74,30.18867925
S23_S24,1,0.2,10,24,153,10000,7650000,19,100,15.96638655
S23_S24,2,0.2,10,24,125,10000,6250000,26,83,23.85321101
S23_S24,3,0.2,10,24,129,10000,6450000,28,91,23.52941176
S23_S24,1,0.35,10,24,134,10000,6700000,33,74,30.8411215
S23_S24,2,0.35,10,24,105,10000,5250000,25,74,25.25252525
S23_S24,3,0.35,10,24,115,10000,5750000,24,50,32.43243243
S23_S24,1,0.6,10,24,125,10000,6250000,43,48,47.25274725
S23_S24,2,0.6,10,24,133,10000,6650000,44,73,37.60683761
S23_S24,3,0.6,10,24,134,10000,6700000,44,60,42.30769231
S23_S24,1,0.8,10,24,134,10000,6700000,48,61,44.03669725
S23_S24,2,0.8,10,24,139,10000,6950000,55,78,41.35338346
S23_S24,3,0.8,10,24,164,10000,8200000,71,83,46.1038961
S23_S24,1,0.05,10,48,288,10000,28800000,182,72,71.65354331
S23_S24,2,0.05,10,48,299,10000,29900000,199,50,79.91967871
S23_S24,3,0.05,10,48,333,10000,33300000,222,37,85.71428571
S23_S24,1,0.2,10,48,124,10000,12400000,74,29,71.84466019
S23_S24,2,0.2,10,48,171,10000,17100000,100,38,72.46376812
S23_S24,3,0.2,10,48,237,10000,23700000,145,48,75.12953368
S23_S24,1,0.35,10,48,81,10000,8100000,30,47,38.96103896
S23_S24,2,0.35,10,48,110,10000,11000000,71,47,60.16949153
S23_S24,3,0.35,10,48,91,10000,9100000,49,44,52.68817204
S23_S24,1,0.6,10,48,49,10000,4900000,27,29,48.21428571
S23_S24,2,0.6,10,48,70,10000,7000000,28,42,40
S23_S24,3,0.6,10,48,78,10000,7800000,36,36,50
S23_S24,1,0.8,10,48,53,10000,5300000,38,26,59.375
S23_S24,2,0.8,10,48,55,10000,5500000,32,28,53.33333333
S23_S24,3,0.8,10,48,76,10000,7600000,34,28,54.83870968
S23_S24,1,0.05,10,72,158,10000,31600000,107,38,73.79310345
S23_S24,2,0.05,10,72,188,10000,37600000,117,36,76.47058824
S23_S24,3,0.05,10,72,192,10000,38400000,148,34,81.31868132
S23_S24,1,0.2,10,72,97,10000,19400000,63,23,73.25581395
S23_S24,2,0.2,10,72,136,10000,27200000,86,44,66.15384615
S23_S24,3,0.2,10,72,129,10000,25800000,88,37,70.4
S23_S24,1,0.35,10,72,142,10000,28400000,75,44,63.02521008
S23_S24,2,0.35,10,72,120,10000,24000000,72,30,70.58823529
S23_S24,3,0.35,10,72,91,10000,18200000,53,26,67.08860759
S23_S24,1,0.6,10,72,36,10000,7200000,19,17,52.77777778
S23_S24,2,0.6,10,72,89,10000,17800000,41,24,63.07692308
S23_S24,3,0.6,10,72,65,10000,13000000,28,23,54.90196078
S23_S24,1,0.8,10,72,56,10000,11200000,36,28,56.25
S23_S24,2,0.8,10,72,58,10000,11600000,24,29,45.28301887
S23_S24,3,0.8,10,72,83,10000,16600000,29,15,65.90909091
S23_S24,1,0.05,10,96,149,10000,29800000,74,33,69.1588785
S23_S24,2,0.05,10,96,151,10000,30200000,87,31,73.72881356
S23_S24,3,0.05,10,96,159,10000,31800000,89,30,74.78991597
S23_S24,1,0.2,10,96,123,10000,24600000,63,38,62.37623762
S23_S24,2,0.2,10,96,142,10000,28400000,80,41,66.11570248
S23_S24,3,0.2,10,96,169,10000,33800000,87,44,66.41221374
S23_S24,1,0.35,10,96,113,10000,22600000,49,43,53.26086957
S23_S24,2,0.35,10,96,121,10000,24200000,57,32,64.04494382
S23_S24,3,0.35,10,96,128,10000,25600000,72,34,67.9245283
S23_S24,1,0.6,10,96,78,10000,15600000,26,40,39.39393939
S23_S24,2,0.6,10,96,86,10000,17200000,37,25,59.67741935
S23_S24,3,0.6,10,96,50,10000,10000000,29,21,58
S23_S24,1,0.8,10,96,77,10000,15400000,22,35,38.59649123
S23_S24,2,0.8,10,96,52,10000,10400000,14,30,31.81818182
S23_S24,3,0.8,10,96,47,10000,9400000,22,26,45.83333333
S23_S24,1,0.05,10,120,44,100000,44000000,31,15,67.39130435
S23_S24,2,0.05,10,120,61,100000,61000000,31,21,59.61538462
S23_S24,3,0.05,10,120,56,100000,56000000,33,10,76.74418605
S23_S24,1,0.2,10,120,32,100000,32000000,19,9,67.85714286
S23_S24,2,0.2,10,120,45,100000,45000000,29,11,72.5
S23_S24,3,0.2,10,120,33,100000,33000000,20,7,74.07407407
S23_S24,1,0.35,10,120,46,100000,46000000,31,15,67.39130435
S23_S24,2,0.35,10,120,46,100000,46000000,26,14,65
S23_S24,3,0.35,10,120,36,100000,36000000,20,20,50
S23_S24,1,0.6,10,120,75,10000,15000000,27,32,45.76271186
S23_S24,2,0.6,10,120,116,10000,23200000,47,45,51.08695652
S23_S24,3,0.6,10,120,76,10000,15200000,30,38,44.11764706
S23_S24,1,0.8,10,120,33,10000,6600000,10,20,33.33333333
S23_S24,2,0.8,10,120,55,10000,11000000,16,31,34.04255319
S23_S24,3,0.8,10,120,48,10000,9600000,18,23,43.90243902
